days,2025_VNINDEX,2024_VNINDEX,2023_VNINDEX,2025_DXY,2024_DXY,2023_DXY,2025_CL=F,2024_CL=F,2023_CL=F,2025_XAU_USD,2024_XAU_USD,2023_XAU_USD,2025_BTC_USD,2024_BTC_USD,2023_BTC_USD,2025_^DJI,2024_^DJI,2023_^DJI
28-Mar,NULL,0.132871095,0.01346297,NULL,0.029634008,-0.007983998,NULL,0.138501165,-0.086150859,NULL,0.080283889,0.086142534,NULL,0.516195518,0.532555518,NULL,0.054904649,-0.020283864
29-Mar,NULL,0.128150755,0.015397842,NULL,0.030112708,-0.010514433,NULL,0.156002087,-0.075857146,NULL,0.080278641,0.080576513,NULL,0.504150489,0.572173582,NULL,0.048862564,-0.010302166
30-Mar,NULL,0.126149379,0.018341984,NULL,0.030112708,-0.009245969,NULL,0.156002087,-0.084415728,NULL,0.080459035,0.089554914,NULL,0.500609018,0.561066131,NULL,0.048862564,-0.005979366
31-Mar,NULL,0.126149379,0.023250307,NULL,0.030112708,-0.013338795,NULL,0.156002087,-0.065369423,NULL,0.085439313,0.087261784,NULL,0.52485105,0.576937174,NULL,0.048862564,0.006653909
01-Apr,NULL,0.126149379,0.037001448,NULL,0.030112708,-0.009522753,NULL,0.156002087,0.011677713,NULL,0.088332336,0.084757046,NULL,0.501979656,0.574568747,NULL,0.048862564,0.016481358
02-Apr,NULL,0.13045678,0.037001448,NULL,0.034993578,-0.009522753,NULL,0.16682722,0.011677713,NULL,0.10107489,0.08060559,NULL,0.44093167,0.567116482,NULL,0.038838686,0.016481358
03-Apr,NULL,0.118359201,0.037001448,NULL,0.03280307,-0.009522753,NULL,0.183723913,0.011677713,NULL,0.108984241,0.090105501,NULL,0.4490885,0.552609464,NULL,0.037738421,0.016481358
04-Apr,NULL,0.115826722,0.036232344,NULL,0.027648987,-0.01517627,NULL,0.186064243,0.015922457,NULL,0.105749257,0.10841821,NULL,0.487403143,0.566206662,NULL,0.024188743,0.010565801
05-Apr,NULL,0.105465977,0.038467065,NULL,0.027457062,-0.019979774,NULL,0.200073079,0.02300848,NULL,0.123340018,0.10919794,NULL,0.477605822,0.566557929,NULL,0.032144251,0.012971014
06-Apr,NULL,0.101673473,0.029261477,NULL,0.02822476,-0.016926137,NULL,0.191323343,0.015108228,NULL,0.122816782,0.106814686,NULL,0.493208793,0.561807989,NULL,0.031855379,0.013047779
07-Apr,NULL,0.101673473,0.028140866,NULL,0.02822476,-0.014274692,NULL,0.191323343,0.016725713,NULL,0.115291137,0.104532381,NULL,0.499979064,0.557590307,NULL,0.031855379,0.016070912
08-Apr,NULL,0.101673473,0.024065009,NULL,0.02822476,-0.014274692,NULL,0.191323343,0.016725713,NULL,0.127164327,0.104268081,NULL,0.532688423,0.5583758,NULL,0.031855379,0.016070912
09-Apr,NULL,0.111646657,0.024065009,NULL,0.026594708,-0.014274692,NULL,0.197014375,0.016725713,NULL,0.133319616,0.100908878,NULL,0.497894392,0.572160639,NULL,0.03162066,0.016070912
10-Apr,NULL,0.108273344,0.024065009,NULL,0.026402581,-0.014274692,NULL,0.182578527,0.016725713,NULL,0.126430381,0.096078535,NULL,0.518850247,0.618746857,NULL,0.020763656,0.016070912
11-Apr,NULL,0.107987217,0.027922882,NULL,0.036777238,-0.010161096,NULL,0.194062045,0.009023815,NULL,0.143303837,0.101281645,NULL,0.511380502,0.638376524,NULL,0.020700383,0.018996774
12-Apr,NULL,0.122611303,0.027913523,NULL,0.037727975,-0.013965226,NULL,0.185720974,0.028553175,NULL,0.129185483,0.108606072,NULL,0.470491018,0.635201208,NULL,0.008327755,0.017860087
13-Apr,NULL,0.0756193,0.023098054,NULL,0.044661898,-0.020427539,NULL,0.189576136,0.050409741,NULL,0.137057309,0.119035104,NULL,0.420273725,0.643828343,NULL,0.001795166,0.029248832
14-Apr,NULL,0.0756193,0.012377361,NULL,0.044661898,-0.025059462,NULL,0.189576136,0.040556344,NULL,0.148223685,0.102678857,NULL,0.450314616,0.646678194,NULL,0.001795166,0.025040077
15-Apr,NULL,0.0756193,0.013251189,NULL,0.044661898,-0.01931687,NULL,0.189576136,0.04152724,NULL,0.146392408,0.101653658,NULL,0.415137245,0.641193553,NULL,0.001795166,0.028012087
16-Apr,NULL,0.074854937,0.013251189,NULL,0.046171152,-0.01931687,NULL,0.186899499,0.04152724,NULL,0.146971557,0.102075294,NULL,0.421217575,0.641089965,NULL,0.003487472,0.028012087
17-Apr,NULL,0.056206902,0.013251189,NULL,0.047678203,-0.01931687,NULL,0.182932214,0.04152724,NULL,0.139964384,0.097781029,NULL,0.381488726,0.612381394,NULL,0.002279499,0.028012087
18-Apr,NULL,0.040984872,0.014399366,NULL,0.043916316,-0.014197785,NULL,0.152824439,0.023583456,NULL,0.145293132,0.102915565,NULL,0.417979967,0.644730056,NULL,0.002864092,0.027701653
19-Apr,NULL,0.040984872,0.008674319,NULL,0.046370787,-0.018017564,NULL,0.150771073,0.022595779,NULL,0.150139528,0.097133925,NULL,0.423188628,0.592920851,NULL,0.008450257,0.02535836
20-Apr,NULL,0.054067389,0.008931731,NULL,0.045711594,-0.015264651,NULL,0.155975628,-0.002737828,NULL,0.1507296,0.10229639,NULL,0.44121505,0.5729126,NULL,0.015125858,0.022101712
21-Apr,NULL,0.054067389,0.002889352,NULL,0.045711594,-0.017127528,NULL,0.155975628,-0.024799517,NULL,0.147997473,0.09163807,NULL,0.440171931,0.538604077,NULL,0.015125858,0.022762916
22-Apr,NULL,0.054067389,0.001403079,NULL,0.045711594,-0.0179134,NULL,0.155975628,-0.013908761,NULL,0.12532951,0.091059512,NULL,0.46960569,0.558422665,NULL,0.015125858,0.024728002
23-Apr,NULL,0.043296316,0.001403079,NULL,0.045711594,-0.0179134,NULL,0.144897894,-0.013908761,NULL,0.121465024,0.091873295,NULL,0.463166115,0.55029414,NULL,0.022022068,0.024728002
24-Apr,NULL,0.067255855,0.001403079,NULL,0.041659575,-0.0179134,NULL,0.160361237,-0.013908761,NULL,0.118644588,0.096598937,NULL,0.431085668,0.547900461,NULL,0.020911278,0.024728002
25-Apr,NULL,0.066724991,-0.004848371,NULL,0.042889561,-0.022435609,NULL,0.153526708,-0.004033211,NULL,0.124555365,0.098575172,NULL,0.434272016,0.576320013,NULL,0.011157973,0.014556304
26-Apr,NULL,0.070501059,0.000901326,NULL,0.040621579,-0.016905315,NULL,0.165358118,-0.025115203,NULL,0.127872806,0.096782676,NULL,0.423007012,0.580386183,NULL,0.015197782,0.007728049
27-Apr,NULL,0.076156167,-0.000222852,NULL,0.045357324,-0.021030223,NULL,0.163926366,-0.060143804,NULL,0.129328897,0.093650893,NULL,0.417734045,0.617366692,NULL,0.019027045,0.023471581
28-Apr,NULL,0.076156167,0.008905386,NULL,0.045357324,-0.020339891,NULL,0.163926366,-0.053018146,NULL,0.128583673,0.094935332,NULL,0.41291042,0.612836382,NULL,0.019027045,0.031512695
29-Apr,NULL,0.076156167,0.000793817,NULL,0.045357324,-0.018368895,NULL,0.163926366,-0.02965678,NULL,0.128633002,0.095651507,NULL,0.424443511,0.60970848,NULL,0.019027045,0.03015013
30-Apr,NULL,0.076156167,0.000793817,NULL,0.041492282,-0.018368895,NULL,0.152813924,-0.02965678,NULL,0.108512945,0.094187305,NULL,0.374252262,0.610403161,NULL,0.00417354,0.03015013
01-May,NULL,0.076156167,0.000793817,NULL,0.047643522,-0.018368895,NULL,0.13734753,-0.02965678,NULL,0.122721203,0.091597602,NULL,0.334955307,0.57018156,NULL,0.006483868,0.03015013
